"dep","nouvelle","insee_nouvelle","ancienne","insee_ancienne"
"01","Arboys-en-Bugey","01015","Arbignieu","01015"
"01","Arboys-en-Bugey","01015","Saint-Bois","01340"
"01","Champdor-Corcelles","01080","Champdor","01080"
"01","Champdor-Corcelles","01080","Corcelles","01119"
"01","Groslée-Saint-Benoît","01338","Groslée","01182"
"01","Groslée-Saint-Benoît","01338","Saint-Benoît","01338"
"01","Haut-Valromey","01187","Hotonnes","01187"
"01","Haut-Valromey","01187","Le Grand-Abergement","01176"
"01","Haut-Valromey","01187","Le Petit-Abergement","01292"
"01","Haut-Valromey","01187","Songieu","01409"
"01","Le Poizat-Lalleyriat","01204","Lalleyriat","01204"
"01","Le Poizat-Lalleyriat","01204","Le Poizat","01300"
"01","Parves-et-Nattages","01286","Nattages","01271"
"01","Parves-et-Nattages","01286","Parves","01286"
"01","Val-Revermont","01426","Pressiat","01312"
"01","Val-Revermont","01426","Treffort-Cuisiat","01426"
"02","Dhuys-et-Morin-en-Brie","02458","Artonges","02026"
"02","Dhuys-et-Morin-en-Brie","02458","Fontenelle-en-Brie","02325"
"02","Dhuys-et-Morin-en-Brie","02458","La Celle-sous-Montmirail","02147"
"02","Dhuys-et-Morin-en-Brie","02458","Marchais-en-Brie","02458"
"02","Les Septvallons","02439","Glennes","02348"
"02","Les Septvallons","02439","Longueval-Barbonval","02439"
"02","Les Septvallons","02439","Merval","02479"
"02","Les Septvallons","02439","Perles","02597"
"02","Les Septvallons","02439","Révillon","02646"
"02","Les Septvallons","02439","Vauxcéré","02771"
"02","Les Septvallons","02439","Villers-en-Prayères","02811"
"02","Vallées-en-Champagne","02053","Baulne-en-Brie","02053"
"02","Vallées-en-Champagne","02053","La Chapelle-Monthodon","02161"
"02","Vallées-en-Champagne","02053","Saint-Agnan","02669"
"03","Haut-Bocage","03158","Givarlais","03123"
"03","Haut-Bocage","03158","Louroux-Hodement","03153"
"03","Haut-Bocage","03158","Maillet","03158"
"04","Val-d'Oronaye","04120","Larche","04100"
"04","Val-d'Oronaye","04120","Meyronnes","04120"
"05","Garde-Colombe","05053","Eyguians","05053"
"05","Garde-Colombe","05053","Lagrand","05069"
"05","Garde-Colombe","05053","Saint-Genis","05143"
"05","Val-Buëch-Méouge","05118","Antonaves","05005"
"05","Val-Buëch-Méouge","05118","Châteauneuf-de-Chabre","05034"
"05","Val-Buëch-Méouge","05118","Ribiers","05118"
"08","Bairon-et-ses-Environs","08116","Le Chesne","08116"
"08","Bairon-et-ses-Environs","08116","Les Alleux","08007"
"08","Bairon-et-ses-Environs","08116","Louvergny","08261"
"08","Chémery-Chéhéry","08115","Chéhéry","08114"
"08","Chémery-Chéhéry","08115","Chémery-sur-Bar","08115"
"08","Douzy","08145","Douzy","08145"
"08","Douzy","08145","Mairy","08267"
"08","Grandpré","08198","Grandpré","08198"
"08","Grandpré","08198","Termes","08441"
"08","Mouzon","08311","Amblimont","08009"
"08","Mouzon","08311","Mouzon","08311"
"10","Aix-Villemaur-Pâlis","10003","Aix-en-Othe","10003"
"10","Aix-Villemaur-Pâlis","10003","Palis","10277"
"10","Aix-Villemaur-Pâlis","10003","Villemaur-sur-Vanne","10415"
"11","Quillan","11304","Brenac","11050"
"11","Quillan","11304","Quillan","11304"
"11","Val-de-Lambronne","11080","Caudeval","11080"
"11","Val-de-Lambronne","11080","Gueytes-et-Labastide","11171"
"12","Argences-en-Aubrac","12223","Alpuech","12005"
"12","Argences-en-Aubrac","12223","Graissac","12112"
"12","Argences-en-Aubrac","12223","La Terrisse","12279"
"12","Argences-en-Aubrac","12223","Lacalm","12117"
"12","Argences-en-Aubrac","12223","Sainte-Geneviève-sur-Argence","12223"
"12","Argences-en-Aubrac","12223","Vitrac-en-Viadène","12304"
"12","Conques-en-Rouergue ","12076","Conques","12076"
"12","Conques-en-Rouergue ","12076","Grand-Vabre","12114"
"12","Conques-en-Rouergue ","12076","Noailhac","12173"
"12","Conques-en-Rouergue ","12076","Saint-Cyprien-sur-Dourdou","12218"
"12","Laissac-Sévérac-l'Église ","12120","Laissac","12120"
"12","Laissac-Sévérac-l'Église ","12120","Sévérac-l'Église","12271"
"12","Le Bas-Ségala","12021","La Bastide-l'Évêque","12021"
"12","Le Bas-Ségala","12021","Saint-Salvadou","12245"
"12","Le Bas-Ségala","12021","Vabre-Tizac","12285"
"12","Palmas-d'Aveyron","12177","Coussergues","12081"
"12","Palmas-d'Aveyron","12177","Cruéjouls","12087"
"12","Palmas-d'Aveyron","12177","Palmas","12177"
"12","Saint-Geniez-d'Olt-et-d'Aubrac ","12224","Aurelle-Verlac","12014"
"12","Saint-Geniez-d'Olt-et-d'Aubrac ","12224","Saint-Geniez-d'Olt","12224"
"12","Sévérac-d'Aveyron ","12270","Buzeins","12040"
"12","Sévérac-d'Aveyron ","12270","Lapanouse","12123"
"12","Sévérac-d'Aveyron ","12270","Lavernhe","12126"
"12","Sévérac-d'Aveyron ","12270","Recoules-Prévinquières","12196"
"12","Sévérac-d'Aveyron ","12270","Sévérac-le-Château","12270"
"14","Balleroy-sur-Drôme","14035","Balleroy","14035"
"14","Balleroy-sur-Drôme","14035","Vaubadon","14727"
"14","Colomby-Anguerny","14014","Anguerny","14014"
"14","Colomby-Anguerny","14014","Colomby-sur-Thaon","14170"
"14","Condé-en-Normandie","14174","Condé-sur-Noireau","14174"
"14","Condé-en-Normandie","14174","La Chapelle-Engerbold","14152"
"14","Condé-en-Normandie","14174","Lénault","14361"
"14","Condé-en-Normandie","14174","Proussy","14523"
"14","Condé-en-Normandie","14174","Saint-Germain-du-Crioult","14585"
"14","Condé-en-Normandie","14174","Saint-Pierre-la-Vieille","14653"
"14","La Vespière-Friardel","14292","Friardel","14292"
"14","La Vespière-Friardel","14292","La Vespière","14740"
"14","Le Hom","14689","Caumont-sur-Orne","14144"
"14","Le Hom","14689","Curcy-sur-Orne","14213"
"14","Le Hom","14689","Hamars","14324"
"14","Le Hom","14689","Saint-Martin-de-Sallen","14628"
"14","Le Hom","14689","Thury-Harcourt","14689"
"14","Livarot-Pays-d'Auge","14371","Auquainville","14028"
"14","Livarot-Pays-d'Auge","14371","Bellou","14058"
"14","Livarot-Pays-d'Auge","14371","Cerqueux","14148"
"14","Livarot-Pays-d'Auge","14371","Cheffreville-Tonnencourt","14155"
"14","Livarot-Pays-d'Auge","14371","Familly","14259"
"14","Livarot-Pays-d'Auge","14371","Fervaques","14265"
"14","Livarot-Pays-d'Auge","14371","Heurtevent","14330"
"14","Livarot-Pays-d'Auge","14371","La Croupte","14210"
"14","Livarot-Pays-d'Auge","14371","Le Mesnil-Bacley","14414"
"14","Livarot-Pays-d'Auge","14371","Le Mesnil-Durand","14418"
"14","Livarot-Pays-d'Auge","14371","Le Mesnil-Germain","14420"
"14","Livarot-Pays-d'Auge","14371","Les Autels-Saint-Bazile","14029"
"14","Livarot-Pays-d'Auge","14371","Les Moutiers-Hubert","14459"
"14","Livarot-Pays-d'Auge","14371","Livarot","14371"
"14","Livarot-Pays-d'Auge","14371","Meulles","14429"
"14","Livarot-Pays-d'Auge","14371","Notre-Dame-de-Courson","14471"
"14","Livarot-Pays-d'Auge","14371","Préaux-Saint-Sébastien","14518"
"14","Livarot-Pays-d'Auge","14371","Saint-Martin-du-Mesnil-Oury","14633"
"14","Livarot-Pays-d'Auge","14371","Saint-Michel-de-Livet","14634"
"14","Livarot-Pays-d'Auge","14371","Saint-Ouen-le-Houx","14638"
"14","Livarot-Pays-d'Auge","14371","Sainte-Marguerite-des-Loges","14615"
"14","Livarot-Pays-d'Auge","14371","Tortisambert","14696"
"14","Malherbe-sur-Ajon","14037","Banneville-sur-Ajon","14037"
"14","Malherbe-sur-Ajon","14037","Saint-Agnan-le-Malherbe","14553"
"14","Noyers-Missy","14475","Missy","14432"
"14","Noyers-Missy","14475","Noyers-Bocage","14475"
"14","Rots","14543","Lasson","14356"
"14","Rots","14543","Rots","14543"
"14","Rots","14543","Secqueville-en-Bessin","14670"
"14","Seulline","14579","Coulvain","14188"
"14","Seulline","14579","Saint-Georges-d'Aunay","14579"
"14","Souleuvre-en-Bocage","14061","Beaulieu","14052"
"14","Souleuvre-en-Bocage","14061","Bures-les-Monts","14115"
"14","Souleuvre-en-Bocage","14061","Campeaux","14129"
"14","Souleuvre-en-Bocage","14061","Carville","14139"
"14","Souleuvre-en-Bocage","14061","Étouvy","14255"
"14","Souleuvre-en-Bocage","14061","La Ferrière-Harang","14264"
"14","Souleuvre-en-Bocage","14061","La Graverie","14317"
"14","Souleuvre-en-Bocage","14061","Le Bény-Bocage","14061"
"14","Souleuvre-en-Bocage","14061","Le Reculey","14532"
"14","Souleuvre-en-Bocage","14061","Le Tourneur","14704"
"14","Souleuvre-en-Bocage","14061","Malloué","14395"
"14","Souleuvre-en-Bocage","14061","Mont-Bertrand","14441"
"14","Souleuvre-en-Bocage","14061","Montamy","14440"
"14","Souleuvre-en-Bocage","14061","Montchauvet","14443"
"14","Souleuvre-en-Bocage","14061","Saint-Denis-Maisoncelles","14573"
"14","Souleuvre-en-Bocage","14061","Saint-Martin-des-Besaces","14629"
"14","Souleuvre-en-Bocage","14061","Saint-Martin-Don","14632"
"14","Souleuvre-en-Bocage","14061","Saint-Ouen-des-Besaces","14636"
"14","Souleuvre-en-Bocage","14061","Saint-Pierre-Tarentaine","14655"
"14","Souleuvre-en-Bocage","14061","Sainte-Marie-Laumont","14618"
"14","Val-de-Vie","14576","La Brévière","14105"
"14","Val-de-Vie","14576","La Chapelle-Haute-Grue","14153"
"14","Val-de-Vie","14576","Saint-Germain-de-Montgommery","14583"
"14","Val-de-Vie","14576","Sainte-Foy-de-Montgommery","14576"
"14","Valdallière","14726","Bernières-le-Patry","14065"
"14","Valdallière","14726","Burcy","14113"
"14","Valdallière","14726","Chênedollé","14156"
"14","Valdallière","14726","Estry","14253"
"14","Valdallière","14726","La Rocque","14539"
"14","Valdallière","14726","Le Désert","14222"
"14","Valdallière","14726","Le Theil-Bocage","14686"
"14","Valdallière","14726","Montchamp","14442"
"14","Valdallière","14726","Pierres","14503"
"14","Valdallière","14726","Presles","14521"
"14","Valdallière","14726","Rully","14549"
"14","Valdallière","14726","Saint-Charles-de-Percy","14564"
"14","Valdallière","14726","Vassy","14726"
"14","Valdallière","14726","Viessoix","14746"
"14","Valorbiquet","14570","La Chapelle-Yvon","14154"
"14","Valorbiquet","14570","Saint-Cyr-du-Ronceray","14570"
"14","Valorbiquet","14570","Saint-Julien-de-Mailloc","14599"
"14","Valorbiquet","14570","Saint-Pierre-de-Mailloc","14647"
"14","Valorbiquet","14570","Tordouet","14693"
"14","Vire-Normandie","14762","Coulonces","14187"
"14","Vire-Normandie","14762","Maisoncelles-la-Jourdan","14388"
"14","Vire-Normandie","14762","Roullours","14545"
"14","Vire-Normandie","14762","Saint-Germain-de-Tallevende-la-Lande-Vaumont","14584"
"14","Vire-Normandie","14762","Truttemer-le-Grand","14717"
"14","Vire-Normandie","14762","Truttemer-le-Petit","14718"
"14","Vire-Normandie","14762","Vaudry","14730"
"14","Vire-Normandie","14762","Vire","14762"
"15","Le Rouget-Pers","15268","Le Rouget","15268"
"15","Le Rouget-Pers","15268","Pers","15150"
"15","Saint-Constant-Fournoulès","15181","Fournoulès","15071"
"15","Saint-Constant-Fournoulès","15181","Saint-Constant","15181"
"15","Val-d'Arcomie","15108","Faverolles","15068"
"15","Val-d'Arcomie","15108","Loubaresse","15108"
"15","Val-d'Arcomie","15108","Saint-Just","15195"
"15","Val-d'Arcomie","15108","Saint-Marc","15197"
"16","Boisné-la-Tude","16082","Charmant","16082"
"16","Boisné-la-Tude","16082","Chavenat","16092"
"16","Boisné-la-Tude","16082","Juillaguet","16172"
"16","Confolens","16106","Confolens","16106"
"16","Confolens","16106","Saint-Germain-de-Confolens","16322"
"16","Genac-Bignac","16148","Bignac","16043"
"16","Genac-Bignac","16148","Genac","16148"
"16","Montmérac","16224","Lamérac","16179"
"16","Montmérac","16224","Montchaude","16224"
"16","Rouillac","16286","Plaizac","16262"
"16","Rouillac","16286","Rouillac","16286"
"16","Rouillac","16286","Sonneville","16371"
"16","Val-des-Vignes","16175","Aubeville","16021"
"16","Val-des-Vignes","16175","Jurignac","16175"
"16","Val-des-Vignes","16175","Mainfonds","16201"
"16","Val-des-Vignes","16175","Péreuil","16257"
"17","Essouvert","17277","La Benâte","17040"
"17","Essouvert","17277","Saint-Denis-du-Pin","17277"
"17","Réaux-sur-Trèfle","17295","Moings","17238"
"17","Réaux-sur-Trèfle","17295","Réaux","17295"
"17","Réaux-sur-Trèfle","17295","Saint-Maurice-de-Tavernole","17371"
"19","Malemort","19123","Malemort-sur-Corrèze","19123"
"19","Malemort","19123","Venarsal","19282"
"21","Val-Mont","21327","Ivry-en-Montagne","21318"
"21","Val-Mont","21327","Jours-en-Vaux","21327"
"22","Jugon-les-Lacs","22084","Dolo","22051"
"22","Jugon-les-Lacs","22084","Jugon-les-Lacs","22084"
"22","Lamballe","22093","Lamballe","22093"
"22","Lamballe","22093","Meslin","22151"
"22","Le Mené","22046","Collinée","22046"
"22","Le Mené","22046","Langourla","22102"
"22","Le Mené","22046","Le Gouray","22066"
"22","Le Mené","22046","Plessala","22191"
"22","Le Mené","22046","Saint-Gilles-du-Mené","22292"
"22","Le Mené","22046","Saint-Gouéno","22297"
"22","Le Mené","22046","Saint-Jacut-du-Mené","22303"
"22","Les Moulins","22183","La Ferrière","22058"
