"dep","nouvelle","anciennes","date","population","chflieu","jorf"
"01","Arboys-en-Bugey","Arbignieu|Saint-Bois",,621,"Arbignieu",
"01","Champdor-Corcelles","Champdor|Corcelles",,730,"Champdor","JORFTEXT000031690269"
"01","Haut-Valromey","Hotonnes|Le Grand-Abergement|Le Petit-Abergement|Songieu",,,"Hotonnes",
"01","Le Poizat-Lalleyriat","Lalleyriat|Le Poizat",,717,"Lalleyriat","JORFTEXT000031690152"
"01","Val-Revermont","Pressiat|Treffort-Cuisiat",,,"Treffort-Cuisiat",
"02","Dhuys-et-Morin-en-Brie","Artonges|La Celle-sous-Montmirail|Fontenelle-en-Brie|Marchais-en-Brie",,831,"Marchais-en-Brie","JORFTEXT000031690149"
"02","Les Septvallons","Vauxcéré|Glennes|Longueval-Barbonval|Merval|Perles|Révillon|Villers-en-Prayères",,1211,"Longueval-Barbonval","JORFTEXT000031680364"
"02","Vallées-en-Champagne","Baulne-en-Brie|La Chapelle-Monthodon|Saint-Agnan",,574,"Baulne-en-Brie","JORFTEXT000031690254"
"03","Haut-Bocage","Givarlais|Louroux-Hodement|Maillet",,855,"Maillet",
"04","Val-d'Oronaye","Larche|Meyronnes",,,,
"05","Garde-Colombe","Eyguians|Lagrand|Saint-Genis",,549,"Eyguians","JORFTEXT000031690182"
"05","Val-Buëch-Méouge","Antonaves|Châteauneuf-de-Chabre|Ribiers",,1343,"Ribiers","JORFTEXT000031690146"
"08","Bairon-et-ses-Environs","Les Alleux|Le Chesne|Louvergny",,,,
"08","Grandpré","Grandpré|Termes",,601,"Grandpré","JORFTEXT000031690233"
"08","Mouzon","Mouzon|Amblimont",,,"Mouzon",
"10","Aix-Villemaur-Pâlis","Aix-en-Othe|Villemaur-sur-Vanne|Palis",,,,
"11","Val-de-Lambronne","Caudeval|Gueytes-et-Labastide",,214,"Caudeval","JORFTEXT000031690236"
"12","Argences en Aubrac","Alpuech|Graissac|Lacalm|La Terrisse|Sainte-Geneviève-sur-Argence|Vitrac-en-Viadène",,1761,"Sainte-Geneviève-sur-Argence","JORFTEXT000031690242"
"12","Conques-en-Rouergue ","Conques|Grand-Vabre|Noailhac|Saint-Cyprien-sur-Dourdou",,1747,"Conques","JORFTEXT000031690245"
"12","Laissac-Sévérac l'Eglise ","Laissac|Sévérac-l'Eglise",,2182,"Laissac","JORFTEXT000031690260"
"12","Palmas d'Aveyron","Coussergues|Cruéjouls|Palmas",,1059,"Palmas","JORFTEXT000031690272"
"12","Saint Geniez d'Olt et d'Aubrac ","Saint-Geniez-d'Olt|Aurelle-Verlac",,2192,"Saint-Geniez-d'Olt","JORFTEXT000031690218"
"12","Sévérac d'Aveyron ","Buzeins|Lapanouse|Lavernhe|Recoules-Prévinquières|Sévérac-le-Château",,4232,"Sévérac-le-Château","JORFTEXT000031690221"
"14","Balleroy-sur-Drôme","Balleroy|Vaubadon",,,,
"14","Colomby-Anguerny","Anguerny|Colomby-sur-Thaon",,1193,"Anguerny","JORFTEXT000031690170"
"14","Condé-en-Normandie","Condé-sur-Noireau|Saint-Germain-du-Crioult|Proussy|Saint-Pierre-la-Vieille|Lénault|La Chapelle-Engerbold",,7260,"Condé-sur-Noireau",
"14","La Vespière-Friardel","Friardel|La Vespière","2015-12-22",1259,"Friardel",
"14","Le Hom","Thury-Harcourt|Saint-Martin-de-Sallen|Curcy-sur-Orne|Hamars|Caumont-sur-Orne","2015-12-22",3725,"Thury-Harcourt",
"14","Livarot-Pays-d'Auge","Auquainville|Les Autels-Saint-Bazile|Bellou|Cerqueux|Cheffreville-Tonnencourt|La Croupte|Familly|Fervaques|Heurtevent|Livarot|Le Mesnil-Bacley|Le Mesnil-Durand|Le Mesnil-Germain|Meulles|Les Moutiers-Hubert|Notre-Dame-de-Courson|Préaux-Saint-Sébastien|Saint-Martin-du-Mesnil-Oury|Saint-Michel-de-Livet|Saint-Ouen-le-Houx|Sainte-Marguerite-des-Loges|Tortisambert",,,,
"14","Malherbe-sur-Ajon","Banneville-sur-Ajon|Saint-Agnan-le-Malherbe","2015-12-09",516,"Banneville-sur-Ajon",
"14","Noyers-Missy","Missy|Noyers-Bocage","2015-12-09",1677,"Noyers-Bocage",
"14","Rots","Rots|Lasson|Secqueville-en-Bessin","2015-12-22",2468,"Rots",
"14","Seulline","Saint-Georges-d'Aunay|Coulvain","2015-12-22",1089,"Saint-Georges-d'Aunay",
"14","Souleuvre-en-Bocage","Beaulieu|Le Bény-Bocage|Bures-les-Monts|Campeaux|Carville|Étouvy|La Ferrière-Harang|La Graverie|Malloué|Mont-Bertrand|Montamy|Montchauvet|Le Reculey|Saint-Denis-Maisoncelles|Saint-Martin-des-Besaces|Saint-Martin-Don|Saint-Ouen-des-Besaces|Saint-Pierre-Tarentaine|Sainte-Marie-Laumont|Le Tourneur",,8593,"Le Bény-Bocage",
"14","Val-de-Vie","Sainte-Foy-de-Montgommery|Saint-Germain-de-Montgommery|La Chapelle-Haute-Grue|La Brévière","2015-12-22",563,"Sainte-Foy-de-Montgommery",
